"DisGeNET","Ensembl","gLayCluster","Literature","Literature.doi","name","Name2","selected","shared name","WikiPathways"
"1","ENSG00000243708","316",,,"100137049","PLA2G4B","false","100137049",
"1","ENSG00000116711","317",,,"5321","PLA2G4A","false","5321",
"1","ENSG00000105499","318",,,"8605","PLA2G4C","false","8605",
"1","ENSG00000198121","319",,,"1902","LPAR1","false","1902",
"1","ENSG00000277586","320",,,"4747","NEFL","false","4747",
"1","ENSG00000070748","321",,,"1103","CHAT","false","1103",
"1","ENSG00000116918","322",,,"7257","TSNAX","false","7257",
"1","ENSG00000112592","323",,,"6908","TBP","false","6908",
"1","ENSG00000179546","324",,,"3352","HTR1D","false","3352",
"1","ENSG00000006534","325",,,"221","ALDH3B1","false","221",
"1","ENSG00000166908","326",,,"79837","PIP4K2C","false","79837",
"1","ENSG00000169083","327",,,"367","AR","false","367",
"1","ENSG00000138798","328",,,"1950","EGF","false","1950","1"
"1","ENSG00000111664","329",,,"2784","GNB3","false","2784",
"1","ENSG00000130540","330",,,"25830","SULT4A1","false","25830",
"1","ENSG00000171885","331",,,"361","AQP4","false","361",
"1","ENSG00000197971","332",,,"4155","MBP","false","4155",
"1","ENSG00000168314","333",,,"4336","MOBP","false","4336",
"1","ENSG00000147588","334",,,"5375","PMP2","false","5375",
